,SampleID,CatA,CatJ,CatL,Match,Consensus
283,382,yes,yes,yes,match,yes
284,383,yes,yes,yes,match,yes
285,384,yes,yes,yes,match,yes
295,394,yes,yes,yes,match,yes
297,396,yes,yes,yes,match,yes
300,399,yes,yes,yes,match,yes
303,402,yes,yes,yes,match,yes
304,403,yes,yes,yes,match,yes
308,407,yes,yes,yes,match,yes
311,410,yes,yes,yes,match,yes
312,411,yes,yes,yes,match,yes
316,415,yes,yes,yes,match,yes
317,416,yes,yes,yes,match,yes
318,417,yes,yes,yes,match,yes
324,423,yes,yes,yes,match,yes
328,427,yes,yes,yes,match,yes
331,430,yes,yes,yes,match,yes
335,434,yes,yes,yes,match,yes
337,436,yes,yes,yes,match,yes
338,437,yes,yes,yes,match,yes
339,438,yes,yes,yes,match,yes
340,439,yes,yes,yes,match,yes
343,442,yes,yes,yes,match,yes
345,444,yes,yes,yes,match,yes
350,449,yes,yes,yes,match,yes
351,450,yes,yes,yes,match,yes
353,452,yes,yes,yes,match,yes
356,455,yes,yes,yes,match,yes
357,456,yes,yes,yes,match,yes
358,457,yes,yes,yes,match,yes
359,458,yes,yes,yes,match,yes
361,460,yes,yes,yes,match,yes
366,465,yes,yes,yes,match,yes
379,478,yes,yes,yes,match,yes
380,479,yes,yes,yes,match,yes
386,485,yes,yes,yes,match,yes
391,490,yes,yes,yes,match,yes
109,110,?????,NA,NA,NA,
118,119,?????,NA,NA,NA,
149,151,?????,NA,NA,NA,
372,471,???????,NA,NA,NA,
62,63,NA,NA,no,NA,
104,105,no,NA,no,NA,
223,322,other,NA,NA,NA,
73,74,other,NA,yes,NA,
