ID,variable,raw_value,current_value,issue,scoring_hint,consensus
360,SES_EDU_SC_CLEAN,NA,NA,Missing / not entered,"0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",73
360,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,24
360,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
360,SES_INT_SC,NA,NA,Missing / not entered,Internet access score — see NSE-AMAI table,0
360,SES_WRK_SC,NA,NA,Missing / not entered,Primary earner education score — see NSE-AMAI table,15
360,SES_BEDR_SC,NA,NA,Missing / not entered,Bedrooms score — see NSE-AMAI table,12
362,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
371,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
387,SES_EDU_SC_CLEAN,NA,NA,Missing / not entered,"0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",22
395,SES_CAR_SC,NA,NA,Missing / not entered,Cars score — see NSE-AMAI table,0
397,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
411,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
417,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
470,SES_BTHR_SC,NA,NA,Missing / not entered,Bathrooms score — see NSE-AMAI table,0
