ID,SEASON,W_WS_LOC,HW_TOTAL,HW_WORRY,HW_INTERR,HW_CLOTHES,HW_PLANS,HW_FOOD,HW_HANDS,HW_BODY,HW_DRINK,HW_ANGRY,HW_SLEEP,HW_NONE,HW_SHAME,HW_INFO,PSS1,PSS2,PSS3,PSS4,PSS5,PSS6,PSS7,PSS8,PSS9,PSS10,PSS11,PSS12,PSS13,PSS14,PSS_TOTAL,PSS_INFO
92,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,2,0,0,0,"total= 3, sub=2 ",0,2,2,2,0,4,4,1,4,4,1,2,3,1,N/A,puntaje= -12
93,Oct-Dec,WS,NA,1,2,0,1,0,0,0,0,1,0,0,0,"total= 5, sub=1 ",3,3,4,2,1,2,2,2,2,2,2,3,3,1,N/A,puntaje= 4
94,Oct-Dec,WS,NA,0,1,0,0,0,0,0,1,1,0,0,1,"total= 4, sub= 2 ",3,3,4,4,4,4,1,4,3,1,4,4,4,4,N/A,total= 5
95,Oct-Dec,WS,NA,1,1,0,1,0,0,0,0,1,0,0,0,"total= 4, sub= 2 (planes) ",2,4,4,2,2,3,2,4,2,3,4,4,3,4,N/A,total= 9
96,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,"total= 0, sub=0 ",0,2,4,3,2,2,2,3,2,3,4,3,4,2,N/A,total=0
97,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,"total=0, sub=0 ",2,2,4,2,3,2,2,2,2,2,4,4,3,3,N/A,total= 5
98,Oct-Dec,WS,NA,0,1,2,0,0,0,0,1,1,1,0,1,"12) Dicen que agua de... sabe raro, Huele rara, no sabe bueno ",2,3,4,2,2,1,2,4,2,1,3,4,1,2,N/A,total=11
99,Oct-Dec,WS,NA,1,3,1,0,0,0,0,1,1,1,1,0,"total=9, sub= 2",2,2,1,3,3,3,3,1,3,2,2,3,3,0,N/A,puntaje: -9
100,Oct-Dec,WS,NA,0,0,1,0,0,0,0,0,1,0,0,0,"Planes--cambiar horario-baniarse al mismo tiempo-no mas reguedera y falta agua

Enojo-calidad",2,2,2,3,3,3,3,2,3,3,2,3,3,2,N/A,
101,Oct-Dec,WS,NA,2,3,1,1,0,0,3,3,2,1,2,2,,4,2,4,4,4,4,3,3,3,3,4,4,2,2,N/A,
102,Oct-Dec,WS,NA,2,1,2,2,0,0,1,0,1,0,0,0,,2,2,4,0,2,4,4,1,3,2,4,3,3,3,N/A,
103,Oct-Dec,WS,NA,1,1,2,0,1,0,1,0,1,0,1,0,5) Alimentos: Se usa agua del garrafon y ese dia no hubo,2,2,2,3,2,2,2,3,2,2,3,2,3,3,N/A,
104,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,0,0,0,0,,2,1,3,2,3,4,4,0,3,3,2,4,3,3,N/A,
105,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,3,2,2,2,3,2,1,3,4,1,4,N/A,
106,Oct-Dec,WS,NA,1,2,0,2,0,0,1,0,1,0,3,0,,2,3,2,2,3,2,2,2,3,1,3,2,1,2,N/A,
107,Oct-Dec,WS,NA,3,3,1,2,1,0,0,0,1,0,0,0,Bebida-siempre hay porque la compran,4,4,3,2,3,4,2,2,4,4,3,4,3,4,N/A,
108,Oct-Dec,WS,NA,3,2,3,2,1,0,0,0,1,0,1,0,,2,3,3,2,2,4,3,2,2,2,2,4,2,2,N/A,
109,Oct-Dec,WS,NA,1,0,1,3,1,0,1,0,1,0,0,0,Bebida-tio de al lado venda garrafon,1,2,2,1,4,1,1,2,2,2,2,4,4,3,N/A,
110,Oct-Dec,WS,NA,0,0,0,0,1,0,0,1,0,1,1,0,5) Alimentos: Quedaron sin agua el sabado.,4,4,4,4,4,4,1,4,4,1,4,4,4,4,N/A,
111,Oct-Dec,WS,NA,3,2,1,0,3,2,1,0,1,0,3,0,,3,2,4,4,3,4,3,2,2,1,3,4,2,0,N/A,
